Course Code,Course Name,School,Credits,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
MATH 141,Elements of Calculus,Holy Cross,4,Laura LeGare,Dennis James Vandenberg,,,,
MATH 151,Calculus I for Science,Holy Cross,4,Laura LeGare,,,,,
MATH 118,Finite Mathematics,Holy Cross,4,Stephen Takach,,,,,
PHYS 151,Physics for Science,Holy Cross,4,John William Biddle,,,,,
PHYS 151 L,Physics for Science Lab,Holy Cross,0,John William Biddle,,,,,
PHYS 152,Physics II for Science,Holy Cross,4,John William Biddle,,,,,
PHYS 152 L,Physics II for Science Lab,Holy Cross,0,John William Biddle,,,,,
MATH 142,Elements of Calculus II,Holy Cross,4,Laura LeGare,,,,,
ECON 201,Principles of Microeconomics,Holy Cross,3,George E Mokrzan,Edwige Tia,,,,
ECON 202,Principles of Macroeconomics,Holy Cross,3,Edwige Tia,George E Mokrzan,,,,
PHIL  201,Introduction to Philosophy,Holy Cross,3,Angela M Schwenkler,David Wayne Lutz,David Schenk,,,
ENGL 101,Writing and Rhetoric,Holy Cross,3,Christopher Robert John Scheirer,Laura Jean Jackson,Heather Ghormley,Justin G Watson,Emily Mahan,Anthony Monta
THEO 140,"Creation, Covenant and Christ",Holy Cross,3,Louis Theodore Albarran,Brian K Carpenter,Robert Edward McFadde,,,
BIOL 121,Biological Sciences,Holy Cross,3,Katherine L Barrett,Elaine Mokrzan,,,,
BIOL 125,Human Biology,Holy Cross,3,Elaine Mokrzan,Lawrence Unfried,,,,
BIOL 130,Human Ecology,Holy Cross,3,Katherine L Barrett,,,,,
BIOL 151,Principles of Biology,Holy Cross,3,Aris T. Alexandrou,,,,,
BIOL 151 L,Principles of Biology Lab,Holy Cross,1,Aris T. Alexandrou,,,,,
BIOL 152,Principles of Biology II,Holy Cross,,Katherine L Barrett,Aris T. Alexandrou,,,,
BIOL 152 L,Principles of Biology II Lab,Holy Cross,,Katherine L Barrett,Aris T. Alexandrou,,,,
